asset_tag,name,manufacturer,type,category,location,size,invoice_number,cost,quantity,last_maintenance_date,next_maintenance_date,condition,notes
000001,Spanner 8,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,8,,,1,,,Good,Inherited from Dad
000002,Spanner 9,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,9,,,1,,,Good,Inherited from Dad
000003,Spanner 10,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,10,,,1,,,Good,Inherited from Dad
000004,Spanner 14 Long,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,14,,,1,,,Good,Inherited from Dad
000005,Spanner 14 Socket,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,14,,,1,,,Good,Inherited from Dad
000006,Spanner 17 Long,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,17,,,1,,,Good,Inherited from Dad
000007,Socket 18 3/8,Snap-on,Socket 3/8,Sockets,2nEXvCo0HdOKhz5EQyKM,18,,,1,,,Good,Inherited from Dad
000008,Spanner 19 Long,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,19,,,1,,,Good,Inherited from Dad
000009,Spanner 30,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,30,,,1,,,Good,Inherited from Dad
000010,Spanner 32,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,32,,,1,,,Good,Inherited from Dad
000011,Spanner 11,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,11,,,1,,,Good,Inherited from Dad
000012,Spanner 12,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,12,,,1,,,Good,Inherited from Dad
000013,Spanner 14,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,14,,,1,,,Good,Inherited from Dad
000014,Spanner 15,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,15,,,1,,,Good,Inherited from Dad
000015,Spanner 16,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,16,,,1,,,Good,Inherited from Dad
000016,Spanner 17,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,17,,,1,,,Good,Inherited from Dad
000017,Spanner 18,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,18,,,1,,,Good,Inherited from Dad
000018,Spanner 18,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,18,,,1,,,Good,Inherited from Dad
000019,Spanner 18,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,18,,,1,,,Good,Inherited from Dad
000020,Spanner 19,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,19,,,1,,,Good,Inherited from Dad
000021,Spanner 21,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,21,,,1,,,Good,Inherited from Dad
000022,Spanner 22,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,22,,,1,,,Pitted,Inherited from Dad
000023,Spanner 24,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,24,,,1,,,Good,Inherited from Dad
